landfill_name,municipality,cadastral_parcel,latest_reporting_year,fencing,gate,guard,latitude,longitude
Podrimce,Leskovac,"1,2,223/1 KO Podrimce",2024,ne,ne,ne,43.1409,21.5126
Gradska deponija,Zrenjanin,"100",2024,ne,da,da,45.3540472,20.3644608
Torak 1,Žitište,100%,2018,da,da,ne,45.5197146,20.5961071
Obla,Boljevac,"10189",2024,da,ne,ne,43.807785,21.872181
Gradska deponija,Negotin,"10251,10258",2024,da,da,ne,44.239864,22.556559
Navalin,Leskovac,"1028/2, 1029/2,1030/1,1030/2, 1030/3, 1032,1033/1, 1033/2, 1115, KO Navalin",2024,ne,ne,ne,43.021,21.5726
Golo brdo,Novi Pazar,"1028/2, 1039/2",2024,ne,da,da,43.035496,20.425255
gradsko smetlište Kovin,Kovin,10412/1 KO Kovin,2024,da,ne,ne,44.7467258,20.9630099
GRADSKA DEPONIJA TRSTENIK,Trstenik,"1042/2, 1568/28, 1568/53",2024,da,da,ne,43.5995715,20.9820633
Deponija Lovćenac,Mali Iđoš,"1054",2021,da,da,ne,45.6895345,19.6988385
smetlište čvrstog komunalnog otpada,Ruma,"10708",2024,da,da,da,45.016111,19.846553
"""Duboki Potok"" Druglići",Priboj,"1093/2, 1194/1, 1194/2, 1145/1, 1145/2",2024,da,da,da,43.4939197,19.6327993
Dušanovo,Leskovac,"113, 114, 115, 116, 117/1,117/2 KO Dušanovo",2024,ne,ne,ne,43.0479,21.8436
Gradska deponija u Novom Sadu,Novi Sad - grad,113/1 KAO Novi Sad III,2024,da,da,da,45.311,19.842295
Tijovac Mačja glava,Svrljig,"1148,1147,81/1,1178/1",2024,da,da,ne,43.4576345,22.2032516
Suva Morava,Vladičin Han,"1164/1,1164/2 KO Suva Morava Vladicin Han",2024,ne,ne,ne,42.676906,22.056099
"Gradska deponija ""Aleksandrovačka bara"" u Subotici",Subotica,"12014/1; 12014/2; 12014/3; 12015/1; 12015/3; 12016/1; 12017; 12019 i 12020",2024,ne,da,da,46.079331,19.686445
Tancoš,Beočin,"1212, 1213 1214 1215, 1345/1, 1345/2, 1348, 1349, 1350, 1351, 1352, 1353",2024,ne,da,da,45.2017398,19.7038667
"gradska deponija ""Rančevo""",Sombor,"12457/1, 12457/2, 12457/3, 12457/4  K.O. Sombor 2",2024,da,da,ne,45.8621904,19.1159462
bele vode,Majdanpek,1258/2 i 1258/4,2024,ne,ne,ne,44.404548,21.946732
Deponija ispod autoputa,Vranje,"12657, 12674",2024,ne,ne,ne,42.52613,21.91062
Ćeten,Čajetina,"1275/1, 1275/2, 1276/1, 1276/2 KO Čajetina",2022,ne,ne,ne,43.7460333,19.7044344
Prelići,Čačak,"1293/1;1293/2;1296/2;1297;1299;1300;1301;1302;1304;1305;1376/3;107/2;108/2;109/1;111;112/1;113/1;113/2;130/1;132;133/1;133/2;135/1;136/1;2004/2;2004/3",2021,da,da,da,43.879473,20.38532
Seosko smetlište - Pločica,Kovin,1375 KO Pločica,2024,da,ne,ne,44.7147421,20.8746521
Mali rit,Vršac,14082/6 k.o. Vršac,2024,da,da,da,45.2926441,21.2926441
Lipovac,Ražanj,"1440/3, 1441/2 i 1441/1 KO Ražanj",2024,da,da,ne,43.6652,21.5625875
Merošina,Merošina,1456 i 1457/1,2024,ne,ne,ne,43.2660422,21.7040037
Razdolje,Raška,"147 KO Raška, 4696 i 4695 KO Rvati",2024,ne,da,da,43.291414,20.6367963
Bašaidski put,Novi Bečej,14707 i 15233,2024,ne,ne,da,45.6043274,20.1837872
kamenac,Lučani,"1486/1, 1486/2, 1487/1, 1487/2",2023,da,da,ne,43.7845,20.2703
"""Bare""",Žitorađa,"1488/1, 1487/1, 1486/1, 1485/1, 1484/1, 8879/13",2018,ne,ne,ne,43.19833,21.7198
Deponija Čurug,Žabalj,"15094,11626,11627,11628,11629,11630,11631,11688,11689",2024,da,da,da,45.29047,20.02215
Seosko smetlište Dubovac,Kovin,"1520/1,4531/1 i1319/1 KO Dubovac",2024,da,ne,ne,44.8023496,21.2041897
Grebača,Beograd-Obrenovac,"155,156,157,158,159,60,162,138/1,140/1",2023,da,da,da,44.62,20.2
Opštinska deponika komunalnog otpada,Ada,"15534, 15535, 15556, 15558 k.o. Ada",2024,da,da,da,45.7958676,20.1013361
Grebača,Beograd-Obrenovac,"163;164;165;161/1;160;154;156;155;138/1;139;140/1",2024,da,da,da,44.6198,20.1987
Mesna kancelarija Kruščić,Kula,"1657,1658",2017,ne,ne,ne,45.6068828103719,19.3766281250679
Samoš,Kovačica,1684/2 1684/1,2024,ne,ne,ne,45.222989,20.7940327
Deponija Vinci,Golubac,1752/2,2024,da,ne,ne,44.6998136,21.5859578
Salakovac,Malo Crniće,"1757,1767,1768,1769,1770,1771",2024,da,da,ne,44.5931,21.2322
deponija topola,Bačka Topola,"1776,1775,1722,1871,1610",2023,ne,da,da,45.787467,19.618383
Srnje,Kruševac,"178,177/5,177/4,170/3,170/4,9/3,9/4,10/7,10/11,10/12,28,29,23,22,19,181,180/1,180/2",2024,ne,da,da,43.6479494,21.2851516
Deponija Gardinovci,Titel,1860/1,2024,da,da,ne,45.2,20.1
Jeremijino Polje Požarevac,Požarevac,"18609, 18610 i 18612 KO Požarevac",2024,da,da,da,44.643901,21.179896
Okučje,Bajina Bašta,1883 KO Crvica,2019,da,da,ne,43.9976929406207,19.5667186352815
Smetlište komunalnog čvrstog otpada,Plandište,"1916, 1917, 1918",2018,da,da,da,45.2363348,21.1289255
Smetlište komunalnog čvrstog otpada,Plandište,"1916, 1917, 1918, 2691/1",2024,da,da,da,45.2363348,21.1289255
Goveđak,Sjenica,196/1,2024,da,da,ne,43.287802,19.982231
Deponija komunalnog otpada Senta,Senta,"19984/1,019984/2, 19984/3",2024,da,da,ne,45.895785,20.103254
kvadrati,Bački Petrovac,"2107/19,2107/20,2107/403",2024,ne,ne,ne,45.3631842,19.6180128
Nesanitarna deponija u selu Gračac,Vrnjačka Banja,"218/1,",2024,ne,ne,ne,43.6793,20.8603
Nesanitarna deponija u selu Gračac,Vrnjačka Banja,"218/1, 219/1, 219/4",2018,ne,ne,ne,43.6793,20.8603
Vrnjačka Banja_Gračac,Vrnjačka Banja,219/1 K.O. Gračac,2019,da,da,da,43.6793,20.8603
Deponija Godovik,Požega,"2216/1, 2209 KO Godovik, Požega",2020,da,da,da,43.8136797,20.0429123
Osoje,Ljig,"2238,2237/2,2234/3",2020,ne,ne,ne,44.2344272,20.3964209
DEPONIJA JKP SAVA,Pećinci,2264/1 KO DEČ,2024,ne,da,da,44.818424,20.081981
Kablovska,Jagodina,"228/13,228/3,228/4,2344/1,2356",2024,ne,da,ne,43.976582,21.276852
DUDARA,Šabac,"2295,2296,2297,2298,2299,2301,2302,2303,2304,2305/1,2305/2, 2309,2310 ? 2311 KO ŠABAC",2023,da,da,ne,44.45318,19.422962
DUNEK,Prokuplje,"2298,2300,2302,2294",2024,ne,ne,ne,43.2356538,21.5980195
Vocnjak,Nova Varoš,"23/1, 23/2, 30/1, 30/2, 31/2, 454/1, 654/2, 651 659 KO NOVA VAROŠ",2020,da,da,ne,43.459331,19.796631
Nogaja Vlasotince,Vlasotince,"2322/16, 2323, 2324, 2325, 2326",2020,ne,ne,ne,42.9752013,22.1170878
Nogaja Vlasotince,Vlasotince,"2322/16,2323,2324,2325,2326",2024,ne,ne,ne,42.9752013,22.1170878
Gradska deponija Halovo,Zaječar,"2361,2520,2521,2374,2464,2462KO Halovo",2024,ne,da,ne,43.966106,22.357016
Deponija Kostolac u Kostolac,Požarevac,2428 KO Kostolac,2024,da,da,da,44.729943,21.193231
Nesanitarna deponija Šajkaš,Titel,"2443",2024,ne,ne,ne,45.165838,20.55476
"Bečej,Botra",Bečej,"25064,25065,25066,25067,25068,25069 i 25070",2024,da,da,da,45.592039,20.046126
Torovi,Topola,2539 i 2540 KO Topola Selo,2024,ne,da,da,44.2700821,20.6796526
Ramnjak,Smederevska Palanka,"262/1, 262/2, 262/4, 262/5, 263/1, 263/3, 263/4, 263/5, 282/5 ? 282/18 KO Mala Plana",2024,ne,ne,ne,44.3825454,20.9979128
Nesanitarna deponija Mošorin,Titel,2623 i 2622 ko Mošorin,2019,ne,ne,ne,45.181193,20.111967
Seosko smetlište - Skorenovac,Kovin,2663 KO Skorenovac,2024,ne,ne,ne,44.7701096,20.9094028
Šukeret,Kladovo,"274. 275, 276 KO Milutinovac",2024,da,da,da,44.56,22.56
Brdo emušić,Kula,"2785/1,2786",2017,ne,ne,ne,45.362215,19.211292
Stara deponija,Pančevo,"281,283,284,285,332/1,1183/1,1184/1,1184/2,1185,1186,1187,1188,1189/1,1189/2",2024,da,da,da,44.8861517,20.6257616
Deponija komunalnog smeća,Rekovac,"304, 306, 309/1, 309/2, 315/1, 316, 326",2024,da,da,ne,43.513472,21.071201
Deponija komunalnog smeća,Rekovac,"309/1, 309/2, 304, 306, 316",2022,da,da,ne,43.5234,21.0821
Kozarica,Dimitrovgrad,"3125/1, 3125/2, 3126, 3127, 3128/1, 3129/1, 3129/2, 3130, 3131, 3132/1, 3133/1, 3133/2, 3134, 3137, 3138/1, 3139/1, 3140, 3143, 3147",2024,da,da,da,43.026099,22.812156
Rupov salaš,Stara Pazova,"3127/1, 4307/5, 4307/1, 4307/4, 4307/3",2024,ne,da,da,45.02702,20.1848
Deponija u Čoki,Čoka,"3132, 3130,3164/2",2024,ne,ne,ne,45.9406629,20.1653909
Usek,Ljig,"31739/1,31739/3,31596/1,31596/3,31596/4,31596/5,31596/6,31596/7",2019,da,da,ne,44.2462396013318,20.2357826373882
"Deponija komunalnog otpada Polje ""D"" Baroševac",Beograd-Lazarevac,321 KO Baroševac i 327 KO Baroševac,2024,ne,da,da,44.4197145,20.3699057
Mesna deponija Ruski Krstur,Kula,"3285",2024,da,da,ne,45.362196,19.311885
neuređena deponija-smetlište sakule,Opovo,3335 k.o. sakule,2024,da,da,da,45.1275,20.5005
Međuhana,Blace,3343 KO Međuhana,2024,da,da,ne,43.3062479,21.3246058
Belotić,Osečina,"337/2, 337/1, 336, 335/1, 335/2, 338/3, 338/4",2023,da,da,ne,44.3953882,19.5607467
deponija lug,Knjaževac,3415/1,2024,da,ne,ne,43.580309,22.262006
"Centralna javna deponija ""Nišno polje""",Bogatić,3445 i 3690 KO Bogatić,2024,da,da,da,44.8338,19.4535
Peskovi Požeženo,Veliko Gradište,"3580",2024,da,da,ne,44.7457,21.5464
Smetlište Novi Kneževac,Novi Kneževac,3584 K.O. Novi Kneževac,2024,ne,ne,ne,46.075846,20.1027
Sarića Osoje,Užice,"367/1,3647/3,3650 KO Užice",2023,da,da,ne,43.858029,19.872087
seosko smetlište Bavanište,Kovin,394 KO Bavanište,2024,ne,ne,ne,44.8301833,20.8673946
Dvorska Koševine,Krupanj,"4198, 4200, 4200/1, 4200/2",2024,da,ne,ne,44.4022,19.3312
Nesanitarna deponija Titel,Titel,4292 ko Titel,2024,da,da,ne,45.12371,20.171451
Donja Jajina,Leskovac,434/1,2024,da,da,da,42.9714,21.9365
Deponija komunalnog otpada,Bor,4400/11,2024,da,da,da,44.06742,22.13158
gradska deponija,Loznica,"4528/1, 4529/1, 4529/2, 4530/1, 4530/2, 4530/3, 4530/4, 4531/1",2024,da,da,da,44.53777,19.19991
gradska deponija,Loznica,"4531/1, 4525/1, 4528/2, 4530/1, 4529/1, 4529/2",2023,da,da,da,44.53777,19.19991
Nova gradska deponija,Bujanovac,4575 KO Rakovac,2024,ne,ne,ne,42.4572,21.79063
Stara gradska deponija,Bujanovac,"4578 KO Rakovac, 1 KO Ljiljance",2024,ne,ne,ne,42.456956,21.785286
Bregovi,Čajetina,4605/1 KO Čajetina,2024,ne,da,da,43.7105736,19.6739422
Crna Dolina Donja Trnica,Trgovište,"4723, deo 2012/2, 2036, 2037",2024,da,da,ne,42.3821709,22.0594989
Pržar,Preševo,4728 KO Preševo,2024,da,da,ne,42.324183,21.633724
seosko smetlište Gaj,Kovin,4795/2KO Gaj,2024,da,ne,ne,44.7849088,21.071952
seosko smetlište Deliblato,Kovin,4814 i 4815 KO Deliblato,2024,ne,ne,ne,44.8511724,21.0400591
"Deponija ""Svine""",Petrovac,"4906, 4107, 4908 KO Petrovac",2024,da,da,da,44.351709,21.386432
Kondžilo,Žagubica,495 Ko Mali kamen,2023,ne,ne,ne,44.190703,21.800651
Buljanka,Paraćin,"4953/3, 4959/1, 1218, 4960, 6104/29, 4537, 4538, 1219/5, 1219/6, 1219/2, 1219/7, 32181/43, 3218/45, 1217/7, 1219/1, 3218/46 i 6104/15",2024,da,da,ne,43.8781763,21.3475269
Buljanka,Paraćin,"4953/3, 4959/1, 1218,4960,6104/29,4537,4538,1219/5,1219/6,1219/2,1219/7,3218/43,3218/45,1217/7,1219/1,3218/46 i 6104/15",2022,da,da,ne,43.8781763,21.3475269
mucava,Ćuprija,5.68 ha,2024,da,da,ne,43.967757,21.393826
Ub,Ub,524/1 525/1,2024,da,da,da,44.4770813,20.0887888
Kulagića Ada,Kraljevo,5302/1,2024,da,da,da,43.73,20.71
Kremikovo,Bosilegrad,"5566",2024,da,da,da,42.48678,22.48848
Kojanićko jezero,Lapovo,"5675/1,5675/2,5677,5671/2,5671/3,5671/4,5672,5657/1,5657/2",2024,ne,ne,ne,44.1143,21.731
gradska deponija,Šid,"5787",2024,da,da,da,45.136345,19.203782
Drvarnik,Pirot,5979 k.o. Rasnica,2024,ne,ne,ne,43.109,22.56
Mali Pesak,Kanjiža,"5989, 6015/1, 6015/2 ko Martonoš",2024,da,ne,ne,46.089054,20.017072
Zajednicka deponija za Cicevac i Varvarin,Ćićevac,"6046/1, 5991/1, 611-631, 655-670",2024,ne,ne,ne,43.720387,21.3889681
Moravište,Varvarin,"6046/1,5998/1,603-633,648-673",2024,ne,ne,ne,43.7195108,21.3889789
Moravište,Varvarin,"6046/1,5998/1,603-633,648-673,",2018,ne,ne,ne,43.7195108,21.3889789
Deponija Vrdnik,Irig,"6197/1; 6197/7",2020,ne,ne,ne,45.1089362712614,19.8012825377155
Javna deponija Bac,Bač,"6438,6439/1,6439/2,6451,6452,6453",2024,da,da,da,45.375949,19.2052207
Seosko smetlište Mramorak,Kovin,6494/2 KO Mramorak,2024,da,ne,ne,44.8665327,20.977646
gradsko smetliste pirot,Pirot,"6568/23,6568/40,6568/28,2132/3,2133/2,2134/2,2135/2,2189,2188,2187,2186,2185,2184,2183,2182,2181/1,2181/6,2136/3,2137/5,2137/6,2137/1,2138/1,2139/1,2140,2141,6568/8,6568/9,6568/30,6568/21,6568/15",2024,ne,ne,ne,43.182,22.569
