Waste Volume Coordinate,Surface Area Coordinate,Dumpsite Count,Volume Range Label,Area Range Label
1,1,329,Up to 1 t,Less than 30 m2
1,1,0,Up to 1 t,30-100 m2
1,1,0,Up to 1 t,100-300 m2
1,1,0,Up to 1 t,300-1000 m2
1,1,0,Up to 1 t,1000-5000 m2
1,1,0,Up to 1 t,Over 5000 m2
1,1,0,1-5 t,Less than 30 m2
1,1,0,1-5 t,30-100 m2
1,1,0,1-5 t,100-300 m2
1,1,0,1-5 t,300-1000 m2
1,1,0,1-5 t,1000-5000 m2
1,1,0,1-5 t,Over 5000 m2
1,1,0,5-20 t,Less than 30 m2
1,1,0,5-20 t,30-100 m2
1,1,0,5-20 t,100-300 m2
1,1,0,5-20 t,300-1000 m2
1,1,0,5-20 t,1000-5000 m2
1,1,0,5-20 t,Over 5000 m2
1,1,0,20-100 t,Less than 30 m2
1,1,0,20-100 t,30-100 m2
1,1,0,20-100 t,100-300 m2
1,1,0,20-100 t,300-1000 m2
1,1,0,20-100 t,1000-5000 m2
1,1,0,20-100 t,Over 5000 m2
1,1,0,100-500 t,Less than 30 m2
1,1,0,100-500 t,30-100 m2
1,1,0,100-500 t,100-300 m2
1,1,0,100-500 t,300-1000 m2
1,1,0,100-500 t,1000-5000 m2
1,1,0,100-500 t,Over 5000 m2
1,1,0,Over 500 t,Less than 30 m2
1,1,0,Over 500 t,30-100 m2
1,1,0,Over 500 t,100-300 m2
1,1,0,Over 500 t,300-1000 m2
1,1,0,Over 500 t,1000-5000 m2
1,1,0,Over 500 t,Over 5000 m2
1,2,0,Up to 1 t,Less than 30 m2
1,2,251,Up to 1 t,30-100 m2
1,2,0,Up to 1 t,100-300 m2
1,2,0,Up to 1 t,300-1000 m2
1,2,0,Up to 1 t,1000-5000 m2
1,2,0,Up to 1 t,Over 5000 m2
1,2,0,1-5 t,Less than 30 m2
1,2,0,1-5 t,30-100 m2
1,2,0,1-5 t,100-300 m2
1,2,0,1-5 t,300-1000 m2
1,2,0,1-5 t,1000-5000 m2
1,2,0,1-5 t,Over 5000 m2
1,2,0,5-20 t,Less than 30 m2
1,2,0,5-20 t,30-100 m2
1,2,0,5-20 t,100-300 m2
1,2,0,5-20 t,300-1000 m2
1,2,0,5-20 t,1000-5000 m2
1,2,0,5-20 t,Over 5000 m2
